Apr 24, 2026 7:02:57 PM sun.util.locale.provider.LocaleProviderAdapter <clinit>
WARNING: COMPAT locale provider will be removed in a future release
[2026-04-24T19:03:02,956][INFO ][o.e.n.Node               ] [SAURAV-RAJ.local] version[7.17.4], pid[62124], build[default/tar/79878662c54c886ae89206c685d9f1051a9d6411/2022-05-18T18:04:20.964345128Z], OS[Mac OS X/15.6.1/aarch64], JVM[Homebrew/OpenJDK 64-Bit Server VM/21.0.10/21.0.10]
[2026-04-24T19:03:02,957][INFO ][o.e.n.Node               ] [SAURAV-RAJ.local] JVM home [/opt/homebrew/Cellar/openjdk@21/21.0.10/libexec/openjdk.jdk/Contents/Home], using bundled JDK [false]
[2026-04-24T19:03:02,957][INFO ][o.e.n.Node               ] [SAURAV-RAJ.local] JVM arguments [-Xshare:auto, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -XX:-OmitStackTraceInFastThrow, -XX:+ShowCodeDetailsInExceptionMessages, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dio.netty.allocator.numDirectArenas=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j2.formatMsgNoLookups=true, -Djava.locale.providers=SPI,COMPAT, --add-opens=java.base/java.io=ALL-UNNAMED, -Djava.security.manager=allow, -XX:+UseG1GC, -Djava.io.tmpdir=/var/folders/rk/fh7vl2jd2dzcx5m30cp3vjp40000gn/T/elasticsearch-11743950625181039831, -XX:+HeapDumpOnOutOfMemoryError, -XX:+ExitOnOutOfMemoryError, -XX:HeapDumpPath=data, -XX:ErrorFile=logs/hs_err_pid%p.log, -Xlog:gc*,gc+age=trace,safepoint:file=/opt/homebrew/var/log/elasticsearch/gc.log:utctime,pid,tags:filecount=32,filesize=64m, -Xms8192m, -Xmx8192m, -XX:MaxDirectMemorySize=4294967296, -XX:InitiatingHeapOccupancyPercent=30, -XX:G1ReservePercent=25, -Des.path.home=/opt/homebrew/Cellar/elasticsearch-full/7.17.4/libexec, -Des.path.conf=/opt/homebrew/etc/elasticsearch, -Des.distribution.flavor=default, -Des.distribution.type=tar, -Des.bundled_jdk=true]
[2026-04-24T19:03:03,858][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [aggs-matrix-stats]
[2026-04-24T19:03:03,858][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [analysis-common]
[2026-04-24T19:03:03,858][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [constant-keyword]
[2026-04-24T19:03:03,858][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [frozen-indices]
[2026-04-24T19:03:03,858][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [ingest-common]
[2026-04-24T19:03:03,858][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [ingest-geoip]
[2026-04-24T19:03:03,858][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [ingest-user-agent]
[2026-04-24T19:03:03,858][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [kibana]
[2026-04-24T19:03:03,858][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [lang-expression]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [lang-mustache]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [lang-painless]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [legacy-geo]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [mapper-extras]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [mapper-version]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [parent-join]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [percolator]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [rank-eval]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [reindex]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [repositories-metering-api]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [repository-encrypted]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [repository-url]
[2026-04-24T19:03:03,859][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [runtime-fields-common]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [search-business-rules]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [searchable-snapshots]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [snapshot-repo-test-kit]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [spatial]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [transform]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [transport-netty4]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [unsigned-long]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [vector-tile]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [vectors]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [wildcard]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [x-pack-aggregate-metric]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [x-pack-analytics]
[2026-04-24T19:03:03,860][INFO ][o.e.p.PluginsService     ] [SAURAV-RAJ.local] loaded module [x-pack-async]
